ControleName,FonctionDocker,ContainerName,Command,Expected
contMosquitto,exec,mqtt_mosquitto,cat /proc/1/comm	,mosquitto
volMosquitto,inspect,mqtt_mosquitto,Mounts.Source,VolumesMosquitto%config%data%log
logMosquitto,exec,mqtt_mosquitto,date -d @1744733960 | grep -o 'Apr 15',Apr 15
listenMosquitto,exec,mqtt_mosquitto,cat /mosquitto/log/mosquitto.log | grep -o \"Opening ipv4 listen socket on port 1883\" | head -1,Opening ipv4 listen socket on port 1883
subMosquitto,exec,mqtt_mosquitto,cat /mosquitto/log/mosquitto.log | grep -o "TopicControle " | head -1,TopicControle 
pubMosquitto,exec,mqtt_mosquitto,cat /mosquitto/log/mosquitto.log | grep -o \"PUBLISH to postman\" | head -1,PUBLISH to postman
mesMosquitto,exec,mqtt_mosquitto,cat /mosquitto/log/messages.log | grep -o \"BTS CIEL Branly\" | head -1,BTS CIEL Branly
contMqttx,exec,mqtt_mqttx-web,cat /proc/1/comm ,http-server
connexMqttx,exec,mqtt_mosquitto,cat /mosquitto/log/mosquitto.log | grep -o \"mqttx_\" | head -1,mqttx_
mesMqttx,exec,mqtt_mosquitto,cat /mosquitto/log/mosquitto.log | grep -o \"Sending PUBLISH to mqttx\" | head -1,Sending PUBLISH to mqttx
contPortainer,exec,mqtt_portainer,cat /proc/1/comm ,portainer
portPortainer,port,mqtt_portainer,,8083
